timestamp,market_slug,window_min,indicator,side,entry_price,entry_time_left,outcome,won,pnl_usd,stake,mode
2026-04-21T06:19:52.256Z,btc-updown-5m-1776752100,5,Heiken+OBV,DOWN,0.82,0.990,DOWN,true,0.2195
2026-04-21T06:19:52.258Z,btc-updown-5m-1776752100,5,TA Predict,DOWN,0.82,0.990,DOWN,true,0.2195
2026-04-21T06:19:52.259Z,btc-updown-5m-1776752100,5,Heiken Ashi,DOWN,0.82,0.990,DOWN,true,0.2195
2026-04-21T06:19:52.260Z,btc-updown-5m-1776752100,5,OBV,DOWN,0.82,0.990,DOWN,true,0.2195
2026-04-21T06:19:52.260Z,btc-updown-5m-1776752100,5,MACD,UP,0.17,0.990,DOWN,false,-1
2026-04-21T06:19:52.261Z,btc-updown-5m-1776752100,5,Delta 3m,DOWN,0.82,0.990,DOWN,true,0.2195
2026-04-21T06:19:52.263Z,btc-updown-5m-1776752100,5,Bollinger,DOWN,0.82,0.990,DOWN,true,0.2195
2026-04-21T06:19:52.264Z,btc-updown-5m-1776752100,5,5+ Agree,DOWN,0.91,0.653,DOWN,true,0.0989
2026-04-21T06:24:51.842Z,btc-updown-5m-1776752400,5,Heiken+OBV,UP,0.52,0.981,UP,true,0.9231
2026-04-21T06:24:51.843Z,btc-updown-5m-1776752400,5,TA Predict,DOWN,0.47,0.981,UP,false,-1
2026-04-21T06:24:51.843Z,btc-updown-5m-1776752400,5,Heiken Ashi,UP,0.52,0.981,UP,true,0.9231
2026-04-21T06:24:51.844Z,btc-updown-5m-1776752400,5,OBV,UP,0.52,0.981,UP,true,0.9231
2026-04-21T06:24:51.845Z,btc-updown-5m-1776752400,5,MACD,DOWN,0.47,0.981,UP,false,-1
2026-04-21T06:24:51.846Z,btc-updown-5m-1776752400,5,Delta 3m,UP,0.52,0.981,UP,true,0.9231
2026-04-21T06:24:51.847Z,btc-updown-5m-1776752400,5,Bollinger,DOWN,0.47,0.981,UP,false,-1
2026-04-21T06:24:51.848Z,btc-updown-5m-1776752400,5,5+ Agree,UP,0.8,0.567,UP,true,0.25
2026-04-21T06:29:51.309Z,btc-updown-5m-1776752700,5,Heiken+OBV,UP,0.94,0.992,UP,true,0.0638
2026-04-21T06:29:51.310Z,btc-updown-5m-1776752700,5,5+ Agree,UP,0.94,0.992,UP,true,0.0638
2026-04-21T06:29:51.311Z,btc-updown-5m-1776752700,5,TA Predict,UP,0.94,0.992,UP,true,0.0638
2026-04-21T06:29:51.312Z,btc-updown-5m-1776752700,5,Heiken Ashi,UP,0.94,0.992,UP,true,0.0638
2026-04-21T06:29:51.313Z,btc-updown-5m-1776752700,5,OBV,UP,0.94,0.992,UP,true,0.0638
2026-04-21T06:29:51.313Z,btc-updown-5m-1776752700,5,MACD,UP,0.94,0.992,UP,true,0.0638
2026-04-21T06:29:51.314Z,btc-updown-5m-1776752700,5,Delta 3m,UP,0.94,0.992,UP,true,0.0638
2026-04-21T06:29:51.315Z,btc-updown-5m-1776752700,5,Bollinger,UP,0.94,0.992,UP,true,0.0638
2026-04-21T06:34:51.285Z,btc-updown-5m-1776753000,5,Full Consensus,UP,0.99,0.985,UP,true,0.0101
2026-04-21T06:34:51.286Z,btc-updown-5m-1776753000,5,Heiken+OBV,UP,0.99,0.985,UP,true,0.0101
2026-04-21T06:34:51.287Z,btc-updown-5m-1776753000,5,5+ Agree,UP,0.99,0.985,UP,true,0.0101
2026-04-21T06:34:51.288Z,btc-updown-5m-1776753000,5,TA Predict,UP,0.99,0.985,UP,true,0.0101
2026-04-21T06:34:51.289Z,btc-updown-5m-1776753000,5,Heiken Ashi,UP,0.99,0.985,UP,true,0.0101
2026-04-21T06:34:51.290Z,btc-updown-5m-1776753000,5,OBV,UP,0.99,0.985,UP,true,0.0101
2026-04-21T06:34:51.290Z,btc-updown-5m-1776753000,5,MACD,UP,0.99,0.985,UP,true,0.0101
2026-04-21T06:34:51.291Z,btc-updown-5m-1776753000,5,Delta 3m,UP,0.99,0.985,UP,true,0.0101
2026-04-21T06:34:51.292Z,btc-updown-5m-1776753000,5,Bollinger,UP,0.99,0.985,UP,true,0.0101
2026-04-21T06:39:52.264Z,btc-updown-5m-1776753300,5,5+ Agree,UP,0.03,0.998,DOWN,false,-1
2026-04-21T06:39:52.266Z,btc-updown-5m-1776753300,5,TA Predict,UP,0.03,0.998,DOWN,false,-1
2026-04-21T06:39:52.267Z,btc-updown-5m-1776753300,5,Heiken Ashi,DOWN,0.96,0.998,DOWN,true,0.0417
2026-04-21T06:39:52.268Z,btc-updown-5m-1776753300,5,OBV,UP,0.03,0.998,DOWN,false,-1
2026-04-21T06:39:52.269Z,btc-updown-5m-1776753300,5,MACD,UP,0.03,0.998,DOWN,false,-1
2026-04-21T06:39:52.270Z,btc-updown-5m-1776753300,5,Delta 3m,DOWN,0.96,0.998,DOWN,true,0.0417
2026-04-21T06:39:52.271Z,btc-updown-5m-1776753300,5,Bollinger,UP,0.03,0.998,DOWN,false,-1
