timestamp,indicator,market_slug,window_min,side,entry_price,exit_price,entry_time,exit_time,hold_seconds,exit_reason,stake_usd,effective_stake_usd,shares,pnl_usd,price_to_beat,current_price_entry,exchange_median_entry,take_profit_pct,min_exit_pct,entry_open_window_sec,max_hold_sec
2026-04-24T22:31:50.712Z,Scalp Force 15m,btc-updown-15m-1777069800,15,DOWN,0.53,0.77,2026-04-24T22:30:46.974Z,2026-04-24T22:31:50.712Z,63.7,tp_hit,1,2.65,5,1.2,77570.59,77562.804,77562.3,75,58,200,300
2026-04-24T23:38:01.607Z,Scalp Force 15m,btc-updown-15m-1777073400,15,UP,0.53,0.68,2026-04-24T23:33:00.581Z,2026-04-24T23:38:01.607Z,301,timeout_min_exit,1,2.65,5,0.75,77432.03,77437.51059033378,77443.74,75,58,600,300
2026-04-24T23:51:35.537Z,Scalp Force 15m,btc-updown-15m-1777074300,15,DOWN,0.54,0.61,2026-04-24T23:46:34.621Z,2026-04-24T23:51:35.537Z,300.9,timeout_min_exit,1,2.7,5,0.35,77452.48,77451.77573,77451.2,75,58,600,150
2026-04-25T00:07:28.146Z,Scalp Force 15m,btc-updown-15m-1777075200,15,DOWN,0.52,0.29,2026-04-25T00:04:57.540Z,2026-04-25T00:07:28.145Z,150.6,timeout_force_exit,1,2.6,5,-1.15,77454.0610017746,77441.793,77436,75,58,600,150
2026-04-25T01:21:50.715Z,Scalp Force 15m,btc-updown-15m-1777079700,15,UP,0.52,0.38,2026-04-25T01:16:50.200Z,2026-04-25T01:21:50.714Z,300.5,timeout_force_exit,1,2.6,5,-0.7,77532.102,77536.37,77539.19,75,58,600,300
2026-04-25T01:32:16.873Z,Scalp Force 15m,btc-updown-15m-1777080600,15,UP,0.51,0.75,2026-04-25T01:30:00.939Z,2026-04-25T01:32:16.873Z,135.9,tp_hit,1,2.55,5,1.2,77508.22364361584,77508.22364361584,77509.67,75,58,600,300
2026-04-25T01:45:45.716Z,Scalp Force 15m,btc-updown-15m-1777081500,15,UP,0.52,0.75,2026-04-25T01:45:10.028Z,2026-04-25T01:45:45.716Z,35.7,tp_hit,1,2.6,5,1.15,77582.53265488899,77595.3,77595.33,75,58,600,300
2026-04-25T02:09:10.031Z,Scalp Force 15m,btc-updown-15m-1777082400,15,UP,0.53,0.76,2026-04-25T02:08:56.576Z,2026-04-25T02:09:10.030Z,13.5,tp_hit,1,2.65,5,1.15,77561.04,77565.86664,77568.8,75,58,600,300
2026-04-25T02:21:01.057Z,Scalp Force 15m,btc-updown-15m-1777083300,15,DOWN,0.53,0.35,2026-04-25T02:16:00.113Z,2026-04-25T02:21:01.056Z,300.9,timeout_force_exit,1,2.65,5,-0.9,77568.189,77564.82708272846,77566.51,75,58,600,300
2026-04-25T02:36:55.093Z,Scalp Force 15m,btc-updown-15m-1777084200,15,UP,0.5,0.39,2026-04-25T02:31:55.043Z,2026-04-25T02:36:55.093Z,300.1,timeout_force_exit,1,2.5,5,-0.55,77655.5,77659.65083385329,77660.55,75,58,600,300
2026-04-25T02:57:22.918Z,Scalp Force 15m,btc-updown-15m-1777085100,15,UP,0.52,0.63,2026-04-25T02:52:21.972Z,2026-04-25T02:57:22.918Z,300.9,timeout_min_exit,1,2.6,5,0.55,77645.98,77649.1431,77651.2,75,58,600,300
2026-04-25T03:23:02.087Z,Scalp Force 15m,btc-updown-15m-1777086900,15,DOWN,0.53,0.27,2026-04-25T03:18:00.812Z,2026-04-25T03:23:02.087Z,301.3,timeout_force_exit,1,2.65,5,-1.3,77598.40336302457,77594.04228496992,77596.34,75,58,600,300
2026-04-25T03:47:28.956Z,Scalp Force 15m,btc-updown-15m-1777088700,15,UP,0.51,0.75,2026-04-25T03:45:13.425Z,2026-04-25T03:47:28.956Z,135.5,tp_hit,1,2.55,5,1.2,77695.82,77702.39226014532,77710.9,75,58,600,300
2026-04-25T04:05:13.962Z,Scalp Force 15m,btc-updown-15m-1777089600,15,UP,0.54,0.33,2026-04-25T04:00:12.797Z,2026-04-25T04:05:13.962Z,301.2,timeout_force_exit,1,2.7,5,-1.05,77692.53257318483,77696.99908467749,77699.91,75,58,600,300
2026-04-25T04:23:14.999Z,Scalp Force 15m,btc-updown-15m-1777090500,15,UP,0.5,0.34,2026-04-25T04:18:14.519Z,2026-04-25T04:23:14.999Z,300.5,timeout_force_exit,1,2.5,5,-0.8,77695.26,77698.68,77702.5,75,58,600,300
2026-04-25T04:54:27.390Z,Scalp Force 15m,btc-updown-15m-1777092300,15,DOWN,0.56,0.39,2026-04-25T04:49:26.221Z,2026-04-25T04:54:27.389Z,301.2,timeout_force_exit,1,2.8,5,-0.85,77632.43,77626.62,77629.93,75,58,600,300
2026-04-25T05:01:26.170Z,Scalp Force 15m,btc-updown-15m-1777093200,15,DOWN,0.52,0.76,2026-04-25T05:00:03.219Z,2026-04-25T05:01:26.169Z,83,tp_hit,1,2.6,5,1.2,77641.505,77641.501,77641.16,75,58,600,300
2026-04-25T05:54:49.860Z,Scalp Force 15m,btc-updown-15m-1777095900,15,DOWN,0.52,0.55,2026-04-25T05:49:48.219Z,2026-04-25T05:54:49.859Z,301.6,timeout_force_exit,1,2.6,5,0.15,77555.82,77549.32,77552.53,75,58,600,300
2026-04-25T06:46:12.882Z,Scalp Force 15m,btc-updown-15m-1777099500,15,DOWN,0.51,0.48,2026-04-25T06:45:44.232Z,2026-04-25T06:46:12.882Z,28.7,trailing_stop,1,2.55,5,-0.15,77546.00757887722,77546.11232801195,77545.77,75,58,300,300
2026-04-25T06:57:15.499Z,Scalp Force 15m,btc-updown-15m-1777099500,15,DOWN,0.46,0.45,2026-04-25T06:57:07.607Z,2026-04-25T06:57:15.498Z,7.9,trailing_stop,1,2.3,5,-0.05,77558.7118778065,77552.7,77555.54,75,58,800,300
2026-04-25T06:57:45.839Z,Scalp Force 15m,btc-updown-15m-1777099500,15,DOWN,0.45,0.44,2026-04-25T06:57:16.825Z,2026-04-25T06:57:45.839Z,29,trailing_stop,1,2.25,5,-0.05,77558.7118778065,77553.13823,77555.54,75,58,800,300
2026-04-25T07:01:11.740Z,Scalp Force 15m,btc-updown-15m-1777100400,15,DOWN,0.49,0.65,2026-04-25T07:00:06.671Z,2026-04-25T07:01:11.740Z,65.1,trailing_stop,1,2.45,5,0.8,77524.4,77510.238,77510,75,58,800,300
2026-04-25T07:02:39.883Z,Scalp Force 15m,btc-updown-15m-1777100400,15,DOWN,0.54,0.75,2026-04-25T07:01:39.796Z,2026-04-25T07:02:39.883Z,60.1,tp_hit,1,2.7,5,1.05,77524.4,77500.45845,77500,75,58,800,300
2026-04-25T07:37:36.133Z,Scalp Force 15m,btc-updown-15m-1777102200,15,UP,0.54,0.51,2026-04-25T07:36:11.159Z,2026-04-25T07:37:36.133Z,85,trailing_stop,1,2.7,5,-0.15,77529.27,77558.3293681477,77558.89,75,58,600,300
2026-04-25T07:55:03.983Z,Scalp Force 15m,btc-updown-15m-1777103100,15,UP,0.54,0.46,2026-04-25T07:50:03.245Z,2026-04-25T07:55:03.982Z,300.7,timeout_force_exit,1,2.7,5,-0.4,77548.48521710603,77543.4771,77548.49,75,58,900,900
2026-04-25T07:55:20.287Z,Scalp Force 15m,btc-updown-15m-1777103100,15,UP,0.46,0.46,2026-04-25T07:55:05.316Z,2026-04-25T07:55:20.287Z,15,trailing_stop,1,2.3,5,0,77548.48521710603,77557.67945,77559.9,75,58,900,900
2026-04-25T07:55:24.246Z,Scalp Force 15m,btc-updown-15m-1777103100,15,UP,0.42,0.41,2026-04-25T07:55:21.608Z,2026-04-25T07:55:24.246Z,2.6,trailing_stop,1,2.1,5,-0.05,77548.48521710603,77558.08364,77559.8,75,58,900,900
2026-04-25T07:55:30.827Z,Scalp Force 15m,btc-updown-15m-1777103100,15,UP,0.43,0.43,2026-04-25T07:55:25.552Z,2026-04-25T07:55:30.827Z,5.3,trailing_stop,1,2.15,5,0,77548.48521710603,77558.07653,77559.8,75,58,900,900
2026-04-25T07:55:54.592Z,Scalp Force 15m,btc-updown-15m-1777103100,15,UP,0.43,0.47,2026-04-25T07:55:32.142Z,2026-04-25T07:55:54.592Z,22.5,trailing_stop,1,2.15,5,0.2,77548.48521710603,77558.08419,77559.8,75,58,900,900
2026-04-25T08:00:29.726Z,Scalp Force 15m,btc-updown-15m-1777104000,15,DOWN,0.52,0.52,2026-04-25T08:00:04.167Z,2026-04-25T08:00:29.726Z,25.6,trailing_stop,1,2.6,5,0,77520.16,77514.6061558264,77514.26,75,58,900,900
2026-04-25T08:00:42.898Z,Scalp Force 15m,btc-updown-15m-1777104000,15,DOWN,0.53,0.49,2026-04-25T08:00:31.032Z,2026-04-25T08:00:42.898Z,11.9,trailing_stop,1,2.65,5,-0.2,77520.16,77512.81349,77510,75,58,900,900
2026-04-25T08:01:48.812Z,Scalp Force 15m,btc-updown-15m-1777104000,15,DOWN,0.5,0.47,2026-04-25T08:00:44.210Z,2026-04-25T08:01:48.812Z,64.6,trailing_stop,1,2.5,5,-0.15,77520.16,77517.40475,77510,75,58,900,900
2026-04-25T08:03:06.752Z,Scalp Force 15m,btc-updown-15m-1777104000,15,DOWN,0.47,0.45,2026-04-25T08:01:50.128Z,2026-04-25T08:03:06.751Z,76.6,trailing_stop,1,2.35,5,-0.1,77520.16,77522.80271,77510,75,58,900,900
2026-04-25T08:08:38.981Z,Scalp Force 15m,btc-updown-15m-1777104000,15,UP,0.54,0.58,2026-04-25T08:08:30.881Z,2026-04-25T08:08:38.981Z,8.1,tp_trailing_stop,1,2.7,5,0.2,77520.16,77581.55,77578.9,75,58,900,900
2026-04-25T08:19:17.196Z,Scalp Force 15m,btc-updown-15m-1777104900,15,UP,0.54,0.49,2026-04-25T08:17:05.914Z,2026-04-25T08:19:17.196Z,131.3,trailing_stop,1,2.7,5,-0.25,77577.77,77585.24,77579.5,75,58,900,900
2026-04-25T08:28:45.457Z,Scalp Force 15m,btc-updown-15m-1777104900,15,UP,0.54,0.75,2026-04-25T08:28:12.020Z,2026-04-25T08:28:45.456Z,33.4,tp_trailing_stop,1,2.7,5,1.05,77570.61,77594.58,77583.9,75,58,900,900
2026-04-25T08:33:20.701Z,Scalp Force 15m,btc-updown-15m-1777105800,15,UP,0.52,0.57,2026-04-25T08:33:08.330Z,2026-04-25T08:33:20.701Z,12.4,trailing_stop,1,2.6,5,0.25,77592.96,77660.10958,77657.7,75,58,900,900
2026-04-25T08:34:17.375Z,Scalp Force 15m,btc-updown-15m-1777105800,15,UP,0.47,0.49,2026-04-25T08:33:23.329Z,2026-04-25T08:34:17.375Z,54,trailing_stop,1,2.35,5,0.1,77592.96,77653.03492110767,77657.29,75,58,900,900
2026-04-25T08:58:19.355Z,Scalp Force 15m,btc-updown-15m-1777106700,15,DOWN,0.49,0.47,2026-04-25T08:57:50.483Z,2026-04-25T08:58:19.355Z,28.9,trailing_stop,1,2.45,5,-0.1,77650.83,77641.47383,77638.3,75,58,900,900
2026-04-25T09:00:03.243Z,Scalp Force 15m,btc-updown-15m-1777106700,15,DOWN,0.49,0,2026-04-25T08:58:27.245Z,2026-04-25T09:00:03.242Z,96,expiry_loss,1,2.45,5,-2.45,77650.83,77638.91,77638.3,75,58,900,900
2026-04-25T16:19:42.056Z,Scalp Force 15m,btc-updown-15m-1777133700,15,UP,0.54,0.37,2026-04-25T16:15:03.244Z,2026-04-25T16:19:42.056Z,278.8,decay_stop_force_exit,1,2.7,5,-0.85,77470.50872648212,77470.50872648212,77471.75,75,58,900,900
2026-04-25T16:22:36.031Z,Scalp Force 15m,btc-updown-15m-1777133700,15,DOWN,0.54,0.6,2026-04-25T16:20:07.449Z,2026-04-25T16:22:36.031Z,148.6,trailing_stop,1,2.7,5,0.3,77470.50872648212,77441.32278903647,77448.38,75,58,900,900
2026-04-25T16:45:26.284Z,Scalp Force 15m,btc-updown-15m-1777135500,15,UP,0.54,0.51,2026-04-25T16:45:02.772Z,2026-04-25T16:45:26.283Z,23.5,trailing_stop,1,2.7,5,-0.15,77389.721,77389.721,77400.8,75,58,900,900
2026-04-25T16:47:45.866Z,Scalp Force 15m,btc-updown-15m-1777135500,15,UP,0.51,0.4,2026-04-25T16:45:28.988Z,2026-04-25T16:47:45.866Z,136.9,decay_stop_force_exit,1,2.55,5,-0.55,77389.721,77416.32266,77400.7,75,58,900,900
2026-04-25T17:22:57.075Z,Scalp Force 15m,btc-updown-15m-1777137300,15,UP,0.53,0.77,2026-04-25T17:22:21.421Z,2026-04-25T17:22:57.075Z,35.7,tp_trailing_stop,1,2.65,5,1.2,77378.51073,77389.47249117088,77378.9,75,58,900,900
2026-04-25T17:33:25.084Z,Scalp Force 15m,btc-updown-15m-1777138200,15,DOWN,0.51,0.76,2026-04-25T17:32:31.045Z,2026-04-25T17:33:25.084Z,54,tp_trailing_stop,1,2.55,5,1.25,77349.04596245407,77343.55639618514,77344.22,75,58,900,900
2026-04-25T17:48:56.398Z,Scalp Force 15m,btc-updown-15m-1777139100,15,DOWN,0.51,0.46,2026-04-25T17:45:30.128Z,2026-04-25T17:48:56.398Z,206.3,trailing_stop,1,2.55,5,-0.25,77329.7690651502,77320.19056098191,77323.1,75,58,900,900
2026-04-25T18:22:13.352Z,Scalp Force 15m,btc-updown-15m-1777140900,15,DOWN,0.53,0.37,2026-04-25T18:21:27.417Z,2026-04-25T18:22:13.352Z,45.9,hard_stop,1,2.65,5,-0.8,77302.93951328071,77289.606875,77290.88,75,58,900,900
2026-04-25T18:24:36.293Z,Scalp Force 15m,btc-updown-15m-1777140900,15,UP,0.53,0.35,2026-04-25T18:24:32.311Z,2026-04-25T18:24:36.292Z,4,trailing_stop,1,2.65,5,-0.9,77302.93951328071,77315.67348445595,77313.2,75,58,900,900
2026-04-25T18:25:10.899Z,Scalp Force 15m,btc-updown-15m-1777140900,15,DOWN,0.53,0.35,2026-04-25T18:24:41.832Z,2026-04-25T18:25:10.899Z,29.1,hard_stop,1,2.65,5,-0.9,77302.93951328071,77293.07066,77295,75,58,900,900
2026-04-25T18:31:50.274Z,Scalp Force 15m,btc-updown-15m-1777141800,15,UP,0.53,0.77,2026-04-25T18:30:06.671Z,2026-04-25T18:31:50.274Z,103.6,tp_trailing_stop,1,2.65,5,1.2,77340.72519812376,77341.5539419619,77342.38,75,58,900,900
2026-04-25T19:04:25.678Z,Scalp Force 15m,btc-updown-15m-1777143600,15,DOWN,0.54,0.38,2026-04-25T19:00:03.594Z,2026-04-25T19:04:25.678Z,262.1,hard_stop,1,2.7,5,-0.8,77318.36451761523,77318.36451761523,77309.6,75,58,900,900
2026-04-25T19:14:31.400Z,Scalp Force 15m,btc-updown-15m-1777143600,15,UP,0.53,0.84,2026-04-25T19:12:41.167Z,2026-04-25T19:14:31.399Z,110.2,tp_trailing_stop,1,2.65,5,1.55,77318.36451761523,77334.16252710977,77334.98,75,58,900,900
2026-04-25T19:18:33.706Z,Scalp Force 15m,btc-updown-15m-1777144500,15,UP,0.51,0.47,2026-04-25T19:15:09.655Z,2026-04-25T19:18:33.705Z,204.1,trailing_stop,1,2.55,5,-0.2,77345.63384473622,77345.93831350918,77348.5,75,58,900,900
2026-04-25T19:34:17.339Z,Scalp Force 15m,btc-updown-15m-1777145400,15,DOWN,0.51,0.64,2026-04-25T19:32:20.770Z,2026-04-25T19:34:17.339Z,116.6,trailing_stop,1,2.55,5,0.65,77272.67861955092,77262.24784810918,77261.2,75,58,900,900
