timestamp,market_slug,window_min,time_left_min,ta_predict_long_pct,ta_predict_short_pct,heiken_color,heiken_streak,rsi,rsi_slope,macd_hist,macd_label,delta_1m_usd,delta_1m_pct,delta_3m_usd,delta_3m_pct,vwap_price,vwap_distance_pct,vwap_slope_label,bollinger_pctB,bollinger_bw_pct,bollinger_squeeze,stoch_rsi_k,stoch_rsi_d,stoch_rsi_cross,ema_cross_label,ema_cross_spread,obv_slope,obv_divergence,atr_value,atr_level,poly_up_price,poly_down_price,poly_liquidity,price_to_beat,chainlink_price,binance_price,binance_vol_24h,coinbase_price,coinbase_vol_24h,bybit_price,bybit_vol_24h,oracle_lag_ms,binance_vs_oracle_usd,oracle_spread_pct,regime,signal,edge_up,edge_down,recommendation
2026-04-21T01:44:51.332Z,btc-updown-5m-1776735600,5,0.145,0.5020645238095238,0.4979354761904762,green,1,33.458189424527575,-8.95349588612482,-6.981948465590636,bearish,48.35000000000582,0.06355730568554056,27.90000000000873,0.036675260157744013,75946.93142176043,0.16610095480886206,UP,0.478408294145348,0.3598094167019306,true,4.036931587374952,19.253841450686206,,bearish,-12.479907098415424,0.8057020000000022,confirming,35.08714285714294,normal,0.83,0.14,8461.2788,76071.50232758824,76101.07925684088,76074.01,16368.16536,76111.19,8604.14455903,76071,13610.854546,,-27.999256840877933,0.052811340381075565,TREND_UP,NO TRADE,-0.35360557928325964,0.35360557928325964,NO_TRADE
2026-04-21T01:49:51.358Z,btc-updown-5m-1776735900,5,0.144,0.5055423076923077,0.4944576923076923,red,1,36.184723304755096,0.9978692598156584,-4.773453723576051,bearish,-21.10000000000582,-0.027755386386556266,11.279999999998836,0.01483795063697801,75949.85873462317,0.09403739067690313,UP,0.2772242729328257,0.33686630932277717,true,24.65400302113081,15.33541793901441,,bearish,-15.670065625032294,0.7142340000000018,bullish_div,35.05642857142915,normal,0,0.99,19456.8599,76021.97496386811,76052.544,76019.38,16351.63545,76052.66,8614.90353096,76023.6,13582.154762,,-31.263999999995576,0.04375921994141161,CHOP,NO TRADE,0.5055423076923077,-0.5055423076923077,NO_TRADE
2026-04-21T01:54:51.985Z,btc-updown-5m-1776736200,5,0.134,0.49292176470588234,0.5070782352941177,red,6,33.521763708311155,1.4109129164868506,-17.038088661447436,bearish (expanding),-0.020000000004074536,-0.000026353992365083086,-90.36000000000058,-0.11906733748118896,75949.65579961642,-0.07877033672708184,DOWN,-0.04597127816751268,0.31282951520754426,true,9.810957970033705,21.611916198051613,,bearish,-46.015816074912436,-5.096496000000002,confirming,34.07071428571778,normal,0,0.99,30556.6553,76052.73317936917,75919.37,75889.84,16353.05699,75922,8633.18460009,75897.3,13587.901875,,-29.539999999993597,0.04236073086486821,TREND_DOWN,NO TRADE,0.49292176470588234,-0.49292176470588234,NO_TRADE
2026-04-21T01:59:52.126Z,btc-updown-5m-1776736500,5,0.131,0.4938734444444444,0.5061265555555556,green,2,28.145043731777534,-1.151957692676227,-5.864669131269025,bearish,10.289999999993597,0.013552385898187467,37.919999999998254,0.049942320044661315,75949.2046447168,-0.028459343080563703,DOWN,0.30063581092230923,0.3390035865728388,true,17.513698269271213,11.58186904661987,,bearish,-42.918231421746896,0.3082480000000004,confirming,28.85928571428667,normal,0.41,0.58,9400.663,75919.67841166806,75955.039,75927.58,16339.0353,75955.08,8636.918411,75931.5,13576.926636,,-27.4490000000078,0.03620562949088868,CHOP,NO TRADE,0.07973203030303028,-0.07973203030303022,NO_TRADE
2026-04-21T02:04:51.416Z,btc-updown-5m-1776736800,5,0.143,0.49522944444444444,0.5047705555555555,red,5,20.221144317528612,4.110893211819324,-13.346752876452676,bearish,10.660000000003492,0.014064994524420435,-12.60000000000582,-0.016624665197722446,75942.62557443258,-0.19965806197201433,DOWN,0.13851928504908806,0.46842318444243825,true,15.577376860613503,9.196585065476413, ✕UP,bearish,-67.19707570348692,-3.5052999999999996,confirming,38.42428571428796,high,0,0.99,21723.2645,75953.71592668277,75823.06081192313,75795.12,16327.05402,75821.28,8470.56023099,75793.5,13588.125612,,-32.06081192313286,0.0366379300736834,TREND_DOWN,NO TRADE,0.49522944444444444,-0.4952294444444445,NO_TRADE
2026-04-21T02:09:51.630Z,btc-updown-5m-1776737100,5,0.140,0.49348455555555554,0.5065154444444444,red,10,30.29586948077076,0.058815867308574354,-3.6726170530796765,bearish,16.539999999993597,0.021827768088269698,-1.7600000000093132,-0.002322664560796422,75939.80324160722,-0.21696558928790693,DOWN,0.23620662177303503,0.4034731915633618,true,89.69292596527062,78.91219303593624,,bearish,-60.722259656278766,0.8640140000000003,bullish_div,33.09357142857126,normal,0.57,0.3,17043.5286,75816.28781,75805.41963351876,75775.04,16319.36546,75808.03,8481.07008696,75777.8,13596.04565,,-30.37963351876533,0.04351931584772615,TREND_DOWN,NO TRADE,-0.1616878582375479,0.16168785823754783,NO_TRADE
2026-04-21T02:14:52.221Z,btc-updown-5m-1776737400,5,0.130,0.4891902777777778,0.5108097222222222,red,4,29.417334951027513,3.70742484536823,-0.4523067542950656,bearish,6.870000000009895,0.00907146372359936,-40.65999999998894,-0.053689332605664976,75931.85198406925,-0.26321231320839183,DOWN,0.2137503801721275,0.34760386518081976,true,59.586162778195195,65.62196401980185,,bearish,-55.6200354356406,-4.8561700000000005,confirming,37.32071428571674,normal,0.02,0.97,29158.0474,75820.84245980365,75762.10228,75732,16348.25789,75764.41,8501.5696121,75733,13640.985193,,-30.112280000001192,0.042778643971920535,TREND_DOWN,NO TRADE,0.46898825757575757,-0.46898825757575757,NO_TRADE
2026-04-21T02:19:51.677Z,btc-updown-5m-1776737700,5,0.139,0.49537444444444445,0.5046255555555555,green,2,45.977666362806424,3.8815351796643576,9.781435873116678,bullish (expanding),1.889999999999418,0.0024942747157211996,36.729999999995925,0.04847339169759668,75928.68244696433,-0.20433970663550835,DOWN,0.541505578534999,0.1896796091324737,true,89.05917335676527,90.14128608991864,,bearish,-34.6415404156578,1.4194339999999996,confirming,31.394285714286006,normal,0.43,0.56,11025.9938,75747.75,75805.7738101884,75773.53,16339.58129,75810.12,8513.88367924,75774.1,13631.24347,,-32.243810188403586,0.04826809115043788,TREND_DOWN,NO TRADE,0.061031010101010086,-0.0610310101010102,NO_TRADE
2026-04-21T02:24:51.694Z,btc-updown-5m-1776738000,5,0.139,0.4881285714285714,0.5118714285714285,red,2,41.84837686749975,-4.279861410486522,8.868462382682608,bullish,-9.870000000009895,-0.01303314234345129,-48.69000000000233,-0.0642941946000038,75899.29714025174,-0.22304177591912153,DOWN,0.26380125858221226,0.1351893870794548,true,79.50472856509045,89.6846981412544,,bearish,-24.247153015588992,-1.6751980000000004,confirming,37.29928571428796,normal,0.73,0.26,28623.9678,75763.6579058552,75760.21,75730.01,16498.44665,75764.11,8532.60518451,75725.9,13631.448784,,-30.20000000001164,0.050435446258671135,TREND_DOWN,NO TRADE,-0.24924516594516594,0.24924516594516588,NO_TRADE
2026-04-21T02:29:51.921Z,btc-updown-5m-1776738300,5,0.135,0.4976229411764706,0.5023770588235295,green,3,57.89201845602983,1.6092067737404356,11.223434043140784,bullish (expanding),-11.349999999991269,-0.01497913808586579,44.270000000004075,0.058425237274171773,75896.83234047287,-0.16441047224882407,DOWN,0.7719429831110387,0.12370412148108258,true,98.18667449373702,95.7334687249878,,bearish,-11.108039528728114,2.6907540000000005,confirming,33.47500000000063,normal,0.26,0.65,8547.033,75760.3873957298,75803.14208732785,75780.08,16497.79002,75803.77,8545.02750457,75771.2,13625.890833,,-31.092087327851914,0.04296655666658938,TREND_DOWN,NO TRADE,0.2119086554621849,-0.21190865546218485,NO_TRADE
2026-04-21T02:34:51.521Z,btc-updown-5m-1776738600,5,0.141,0.48803679487179485,0.5119632051282051,red,2,47.77953253316268,-1.5575526289550368,8.75939621995451,bullish,-21.510000000009313,-0.028396346996771862,-41.41000000000349,-0.054667258444254435,75894.64989390127,-0.19167345011095946,DOWN,0.481614002325873,0.11940364321742021,true,59.013774170869105,71.14312091825796, ✕DN,bearish,-3.9556145060050767,-0.73084,confirming,31.215714285714576,normal,0.99,0,14300.5449,75751.86243436293,75779.16952015151,75749.18,16483.58932,75778.49,8562.71411498,75746.9,13630.142987,,-29.989520151517354,0.04168691765830254,TREND_DOWN,NO TRADE,-0.5119632051282051,0.5119632051282051,NO_TRADE
2026-04-21T02:39:52.120Z,btc-updown-5m-1776738900,5,0.131,0.4923945614035088,0.5076054385964912,red,7,43.528513506396436,-0.30151480807507625,-4.951189531992341,bearish (expanding),-1.6300000000046566,-0.002154157312167601,-73.08999999999651,-0.0965934711324372,75889.60342465821,-0.2924819931080214,DOWN,-0.02206242867386053,0.18324370245278318,true,17.134522162520366,20.02893627922708, ✕DN,bearish,-24.611928572208853,-3.4266239999999994,confirming,36.220714285711956,normal,0,0.99,11857.8886,75771.01069074523,75702.13420301268,75669.4,16433.12491,75695.96,8574.45574418,75665.7,13628.34505,,-34.49420301268401,0.03997245298112754,TREND_DOWN,NO TRADE,0.4923945614035088,-0.4923945614035088,NO_TRADE
